train/night/GOPR0351/GOPR0351_frame_000001,train/day/GOPR0345/GOPR0345_frame_000081
train/night/GOPR0351/GOPR0351_frame_000002,train/day/GOPR0345/GOPR0345_frame_000081
train/night/GOPR0351/GOPR0351_frame_000003,train/day/GOPR0345/GOPR0345_frame_000081
train/night/GOPR0351/GOPR0351_frame_000004,train/day/GOPR0345/GOPR0345_frame_000081
train/night/GOPR0351/GOPR0351_frame_000005,train/day/GOPR0345/GOPR0345_frame_000081
train/night/GOPR0351/GOPR0351_frame_000006,train/day/GOPR0345/GOPR0345_frame_000081
train/night/GOPR0351/GOPR0351_frame_000007,train/day/GOPR0345/GOPR0345_frame_000081
train/night/GOPR0351/GOPR0351_frame_000008,train/day/GOPR0345/GOPR0345_frame_000081
train/night/GOPR0351/GOPR0351_frame_000009,train/day/GOPR0345/GOPR0345_frame_000081
train/night/GOPR0351/GOPR0351_frame_000010,train/day/GOPR0345/GOPR0345_frame_000081
train/night/GOPR0351/GOPR0351_frame_000011,train/day/GOPR0345/GOPR0345_frame_000077
train/night/GOPR0351/GOPR0351_frame_000012,train/day/GOPR0345/GOPR0345_frame_000077
train/night/GOPR0351/GOPR0351_frame_000013,train/day/GOPR0345/GOPR0345_frame_000077
train/night/GOPR0351/GOPR0351_frame_000014,train/day/GOPR0345/GOPR0345_frame_000076
train/night/GOPR0351/GOPR0351_frame_000015,train/day/GOPR0345/GOPR0345_frame_000076
train/night/GOPR0351/GOPR0351_frame_000016,train/day/GOPR0345/GOPR0345_frame_000076
train/night/GOPR0351/GOPR0351_frame_000017,train/day/GOPR0345/GOPR0345_frame_000076
train/night/GOPR0351/GOPR0351_frame_000018,train/day/GOPR0345/GOPR0345_frame_000076
train/night/GOPR0351/GOPR0351_frame_000019,train/day/GOPR0345/GOPR0345_frame_000076
train/night/GOPR0351/GOPR0351_frame_000020,train/day/GOPR0345/GOPR0345_frame_000076
train/night/GOPR0351/GOPR0351_frame_000021,train/day/GOPR0345/GOPR0345_frame_000076
train/night/GOPR0351/GOPR0351_frame_000022,train/day/GOPR0345/GOPR0345_frame_000076
train/night/GOPR0351/GOPR0351_frame_000023,train/day/GOPR0345/GOPR0345_frame_000073
train/night/GOPR0351/GOPR0351_frame_000024,train/day/GOPR0345/GOPR0345_frame_000073
train/night/GOPR0351/GOPR0351_frame_000025,train/day/GOPR0345/GOPR0345_frame_000072
